wallet_address,Proposal voter,Proposal votes,Direct votes,Delegated votes,p1,p2,p3,p4,p5,p6,p7
0xec706142dae3c03d57676dc9c310b01e08142e89,1,3,0,3,0,0,0,0,1,1,1
0x370a5275f69cb3c2e76cfe575cf7f846f906b34d,1,3,3,0,0,1,1,1,0,0,0
0xb7a35196efa16c9e32d9f18af6a01bd3c95be2fe,1,3,3,0,0,0,0,0,1,1,1
0x7a2611b4b14d14c6d57c39dac5b02cb15ef5eef6,1,3,3,0,1,0,1,0,0,0,1
0x2dadcd5248fb059a47192b8b182c8811e0ecdc9e,1,3,0,3,0,0,0,0,1,1,1
0xf4880975728ee25a96c701c225c9ef58eebe5a5b,1,3,0,3,0,0,0,0,1,1,1
0x41e40c472853fd96ae9e9ea70614c5d91a527127,1,3,3,0,0,0,0,1,1,1,0
0xf5fe364d18f4a5a53badce9a046ba74cfc97f6fb,1,3,3,0,1,0,0,0,1,1,0
0x02fd1be629db6431b640c31006c4026ef2c3c569,1,3,3,0,0,1,1,0,0,1,0
0x3c023d247d174491ea683bf28d53981373cc5247,1,3,3,0,0,1,1,1,0,0,0
0x1121f4ca9fb820c6b6731cb15efc8f0b77b1c5f9,1,3,0,3,0,0,0,0,1,1,1
0xa550215d922af5af685461887190cbe1cb7c8071,1,3,3,0,1,1,1,0,0,0,0
0x63c82ec94f4f9ddb7d860ceacf7090e878feec07,1,3,3,0,0,0,0,1,1,1,0
0x3d51ef2d5ec9a9ac75f16442cadf75436bb38844,1,3,3,0,0,0,1,1,1,0,0
0x66b259b9e072e1ae256e738dac2ebc25044178de,1,3,3,0,0,0,1,1,0,1,0
0xff51712c8f5b7108d1896b94ce5c183659b82ef7,1,3,3,0,1,1,1,0,0,0,0
0x004025efcf93bef930fa8a6edc8159ec22724774,1,3,3,0,1,1,1,0,0,0,0
0x7ff3552031c441f3f01aedeb0c2c680fba6dd5df,1,3,3,0,1,1,1,0,0,0,0
0x143d135cf09794bb60b6f6c30fa5941b481da1c1,1,3,3,0,1,0,1,0,0,0,1
0xb2f729f42aaebf387ce58c62adcf27462c4ea127,1,3,3,0,0,1,1,0,0,0,1
0x30de0189dbefdda0b2aad5eb69a0d2a9f49ecd04,1,3,3,0,0,0,0,0,1,1,1
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,1,3,3,0,1,1,0,1,0,0,0
0x44661b3b8ff64dcfd2564e469841991b81b1e97c,1,3,3,0,0,1,1,1,0,0,0
0x4af2fbcbfe4415d4ee027f73f984f5b8221649c7,1,3,3,0,0,1,1,1,0,0,0
0xce43bbb4a9f3eb8bce73be1c961bd438d4705b1b,1,3,3,0,0,1,1,0,1,0,0
0x83a98561e6e5c5ad7b6a13de06dcf2f30ed9d41b,1,3,3,0,0,0,1,1,1,0,0
0x0267640eefc2a0c4ed2c3b7fc4cf7f920a215b4e,1,3,3,0,0,1,1,1,0,0,0
0x4bc3b16d381b60caa4b77e9a3cdd6e24da2d35ae,1,3,0,3,0,0,0,1,1,1,0
0x32f029425b37fbda6b49e9844f436e6f2b65dd44,1,3,3,0,0,1,0,0,1,0,1
0xd6ab15700f2fc1b31f293a32c502bde51cc532a3,1,3,0,3,0,0,0,0,1,1,1
0xbde901046e67708c571cffa4af722ba6993f2cf2,1,3,3,0,1,1,1,0,0,0,0
0x20c76d4203bf7490615804fe4fe9b132ee3e0935,1,3,3,0,0,0,0,1,1,1,0
0x1a694260346bb57aeb7c20330b333dacbc1ef626,1,3,3,0,1,1,1,0,0,0,0
0x541959881e4766125980f24f8b2f89405b249df9,1,3,3,0,0,1,1,1,0,0,0
0xde3f668480cb6d579e5bef4928960df106e5b79a,1,2,2,0,0,0,0,0,0,1,1
0x67c126a1e0f47105793ee0d807c7c6c0a257de4e,1,2,2,0,0,0,0,1,1,0,0
0x00afd35b88d33ed3b2036132abb7a449a6952f1a,1,2,2,0,0,0,0,0,0,1,1
0x6cbd7c20dc0efad80c347fd38a314769e30f18f2,1,2,2,0,0,1,1,0,0,0,0
0xb59cd3a247f0fd3fb447308be1d3fab031129281,1,2,2,0,1,0,0,1,0,0,0
0xb634755475cefeaa219c670ea50cf2c325a5b8e8,1,2,2,0,0,1,1,0,0,0,0
0xb84e634c4a8dd427ba34286f76261d6edc135f56,1,2,2,0,1,0,0,1,0,0,0
0xb8e3509b82fe2ab90e589b5a516dc6e15dd9f8b4,1,2,2,0,1,0,0,1,0,0,0
0xb91b0e319af35145871a364f24d55f01f30c615f,1,2,2,0,0,0,0,0,1,1,0
0xb939bb496e5b1df6b4670e6a1f3891ae4bcc2d03,1,2,2,0,0,1,1,0,0,0,0
0x703e760f02cf4bf5c9a5220ee9bbb2e57f2b25a4,1,2,2,0,1,0,0,1,0,0,0
0x711c15689fcea14f67b8bcf278bf1cdd15cb1401,1,2,2,0,0,0,0,0,0,1,1
0x261fd12af4c4babb30f44c1b0fe20a718a39b04c,1,2,2,0,0,0,0,1,1,0,0
0x71dfd2bab718f5bb30f1099494a68752b5d2f2e2,1,2,2,0,0,0,0,1,0,1,0
0x7223c8735f449a2e1a37d728508eda8b3e06c17b,1,2,2,0,0,0,0,0,1,0,1
0xbd0c5066d0172a71d68a6b299565c91ba1251afa,1,2,2,0,1,0,1,0,0,0,0
0x760f55ad4ee58ff9bf39521d27acbcc184294a9d,1,2,2,0,0,1,0,0,0,1,0
0x776d0f1907b503e3f6a0f16f093b77e6d0513ee4,1,2,2,0,0,0,0,0,0,1,1
0x1b9c8397544ac5175598137b4bd4a7990c5581f3,1,2,2,0,1,0,1,0,0,0,0
0xc1b0fa49c46ebfa755935184f65bc0e3a2da4584,1,2,2,0,0,0,0,1,0,1,0
0x483a44e5ed038f23518f7222a97f8f3e8acd138e,1,2,2,0,0,1,1,0,0,0,0
0x0b8ef8df27622878a0499e2b26c3db9cffa8c3d7,1,2,2,0,0,1,1,0,0,0,0
0x2c943a1094809215959f27a539341f6c01c817f5,1,2,2,0,0,1,1,0,0,0,0
0x02745a825647c12b765263ba857c7038b637e661,1,2,2,0,1,0,0,0,0,0,1
0x7f1c6e55c5bec9a47a3a7f4c17d2d31d38ddc2aa,1,2,2,0,0,0,0,1,0,1,0
0x7f8e797c8a5074e32b0c510263fd9d85b2886440,1,2,2,0,0,0,0,1,0,0,1
0x7fc17120eb1cad644e8dfd92f6b0972938ca16e0,1,2,2,0,0,0,0,1,0,1,0
0x803480c9e5f23b739804962263214fd125b1f3ee,1,2,2,0,1,0,0,1,0,0,0
0x808a023b72260170c95d831f589a1ae0dca1e43e,1,2,2,0,0,0,0,0,0,1,1
0xcbad094a68959803b6e5be9ed93ed6e319e58ab8,1,2,2,0,0,0,0,1,0,1,0
0xcd6bde7e20aa1a1f7b70c3a14a888fe2afd99de5,1,2,2,0,0,0,0,1,0,1,0
0xcf192e832af50a8f92094927cc822a3a896654c9,1,2,2,0,1,0,0,1,0,0,0
